time,longitude,latitude,elevation,T1,T2,RH1,RH2,VW1,VW2,DW1,DW2,HW1,HW2,P
1997-05-13 12:00:00+00:00,-46.8547,69.9133,1990.0,-10.88,-10.88,56.65,57.45,9.99,9.34,103.5,103.3,,,
1997-05-13 13:00:00+00:00,-46.8547,69.9133,1990.0,-10.27,-10.26,58.97,59.75,10.11,9.45,109.3,109.4,2.24,3.37,802.9
1997-05-13 14:00:00+00:00,-46.8547,69.9133,1990.0,-9.60,-9.59,60.69,61.34,10.09,9.43,110.4,110.7,2.24,3.36,802.8
1997-05-13 15:00:00+00:00,-46.8547,69.9133,1990.0,-8.98,-8.97,62.49,62.85,9.5,8.89,110.3,111.6,2.18,3.3,802.9
1997-05-13 16:00:00+00:00,-46.8547,69.9133,1990.0,-8.58,-8.59,64.34,64.35,9.34,9.36,111.3,,2.15,3.33,802.9
1997-05-13 17:00:00+00:00,-46.8547,69.9133,1990.0,-8.55,-8.56,64.36,64.47,9.2,9.18,111.5,,2.21,3.34,802.9
1997-05-13 18:00:00+00:00,-46.8547,69.9133,1990.0,-8.96,-8.98,63.71,63.85,8.92,8.89,110.4,,2.23,3.35,803.0
1997-05-13 19:00:00+00:00,-46.8547,69.9133,1990.0,-9.70,-9.72,62.13,62.4,8.42,8.39,109.5,,2.23,3.35,803.1
1997-05-13 20:00:00+00:00,-46.8547,69.9133,1990.0,-10.66,-10.69,62.09,62.54,8.54,7.95,107.8,108.3,2.23,3.36,803.3
1997-05-13 21:00:00+00:00,-46.8547,69.9133,1990.0,-11.96,-12.01,61.54,62.26,9.11,8.47,105.4,105.9,2.23,3.36,803.3
1997-05-13 22:00:00+00:00,-46.8547,69.9133,1990.0,-13.32,-13.38,60.05,61.15,9.53,8.86,103.4,103.4,2.22,3.31,803.2
1997-05-13 23:00:00+00:00,-46.8547,69.9133,1990.0,-14.80,-14.86,57.91,59.29,9.33,8.71,105.2,104.7,2.22,3.31,803.4
1997-05-14 00:00:00+00:00,-46.8547,69.9133,1990.0,-15.12,-15.19,57.47,58.95,,,,,2.22,3.32,803.4
1997-05-14 01:00:00+00:00,-46.8547,69.9133,1990.0,-15.45,-15.50,57.04,58.61,,,,,2.22,3.32,803.3
1997-05-14 02:00:00+00:00,-46.8547,69.9133,1990.0,-15.78,-15.82,56.62,58.27,9.46,8.65,104.5,107.5,2.22,3.33,803.3
1997-05-14 03:00:00+00:00,-46.8547,69.9133,1990.0,-16.70,-16.75,55.69,57.42,9.97,9.27,103.1,104.3,2.21,3.33,803.6
1997-05-14 04:00:00+00:00,-46.8547,69.9133,1990.0,-17.66,-17.72,54.51,56.37,10.27,9.53,103.5,103.7,2.22,3.33,803.5
1997-05-14 05:00:00+00:00,-46.8547,69.9133,1990.0,-18.68,-18.72,55.18,57.03,10.53,9.78,100.8,100.9,2.2,3.32,803.1
1997-05-14 06:00:00+00:00,-46.8547,69.9133,1990.0,-19.61,-19.65,55.68,57.52,10.7,9.94,98.7,99.3,2.2,3.34,802.9
1997-05-14 07:00:00+00:00,-46.8547,69.9133,1990.0,-20.18,-20.22,54.93,56.82,10.88,10.1,97.3,97.5,2.16,3.34,803.1
1997-05-14 08:00:00+00:00,-46.8547,69.9133,1990.0,-20.02,-20.04,54.16,56.0,10.89,10.1,96.9,96.7,2.21,3.34,803.1
1997-05-14 09:00:00+00:00,-46.8547,69.9133,1990.0,-19.51,-19.52,54.33,56.1,10.51,9.76,95.0,95.5,2.22,3.34,803.2
1997-05-14 10:00:00+00:00,-46.8547,69.9133,1990.0,-18.72,-18.73,54.73,56.37,10.3,9.58,98.4,97.9,2.22,3.34,803.6
1997-05-14 11:00:00+00:00,-46.8547,69.9133,1990.0,-17.55,-17.55,54.61,56.09,9.7,9.03,101.3,101.3,2.22,3.34,803.9
1997-05-14 12:00:00+00:00,-46.8547,69.9133,1990.0,-16.41,-16.40,55.67,56.83,9.61,8.97,98.9,98.9,2.22,3.34,803.5
1997-05-14 13:00:00+00:00,-46.8547,69.9133,1990.0,-14.96,-14.92,56.06,56.99,9.17,8.57,101.1,101.2,2.22,3.34,803.7
1997-05-14 14:00:00+00:00,-46.8547,69.9133,1990.0,-13.32,-13.29,55.82,56.72,8.04,7.52,103.3,103.5,2.22,3.34,803.8
1997-05-14 15:00:00+00:00,-46.8547,69.9133,1990.0,-12.14,-12.11,57.49,58.03,7.29,6.84,104.3,104.3,2.22,3.34,803.9
1997-05-14 16:00:00+00:00,-46.8547,69.9133,1990.0,-11.16,-11.13,57.32,57.82,6.81,6.37,106.1,106.7,2.22,3.34,804.0
1997-05-14 17:00:00+00:00,-46.8547,69.9133,1990.0,-10.15,-10.13,57.13,57.57,6.64,6.2,106.5,106.5,2.22,3.34,804.1
1997-05-14 18:00:00+00:00,-46.8547,69.9133,1990.0,-9.76,-9.73,56.66,56.89,6.42,5.99,100.6,101.5,2.22,3.34,804.0
1997-05-14 19:00:00+00:00,-46.8547,69.9133,1990.0,-9.70,-9.70,56.55,56.74,4.93,4.63,110.6,111.3,2.22,3.34,804.1
1997-05-14 20:00:00+00:00,-46.8547,69.9133,1990.0,-9.88,-9.88,58.15,58.24,3.26,3.59,120.2,120.9,2.22,3.34,804.1
1997-05-14 21:00:00+00:00,-46.8547,69.9133,1990.0,-10.65,-10.66,58.92,59.14,1.9,3.23,114.8,116.0,2.22,3.34,804.1
1997-05-14 22:00:00+00:00,-46.8547,69.9133,1990.0,-11.93,-11.95,59.57,59.94,2.86,3.48,116.9,117.0,2.22,3.34,804.3
1997-05-14 23:00:00+00:00,-46.8547,69.9133,1990.0,-13.03,-13.05,59.27,59.89,6.79,6.25,85.9,85.3,2.22,3.34,803.7
1997-05-15 00:00:00+00:00,-46.8547,69.9133,1990.0,-14.36,-14.40,59.51,60.36,7.41,6.85,84.7,84.3,2.22,3.34,803.5
1997-05-15 01:00:00+00:00,-46.8547,69.9133,1990.0,-16.04,-16.07,60.16,61.09,7.88,7.3,92.1,92.5,2.22,3.34,803.5
1997-05-15 02:00:00+00:00,-46.8547,69.9133,1990.0,-17.78,-17.82,60.92,62.1,9.17,8.52,96.8,97.2,2.22,3.34,803.2
1997-05-15 03:00:00+00:00,-46.8547,69.9133,1990.0,-19.62,-19.66,61.15,62.32,9.14,8.48,96.6,96.7,2.22,3.34,803.0
1997-05-15 04:00:00+00:00,-46.8547,69.9133,1990.0,-21.05,-21.09,61.96,63.08,9.51,8.86,99.2,98.7,2.22,3.34,802.7
1997-05-15 05:00:00+00:00,-46.8547,69.9133,1990.0,-22.04,-22.06,61.4,62.67,10.17,9.47,96.1,95.5,2.22,3.34,802.4
1997-05-15 06:00:00+00:00,-46.8547,69.9133,1990.0,-22.96,-22.99,59.45,60.93,10.22,9.5,93.6,93.4,2.22,3.34,802.3
1997-05-15 07:00:00+00:00,-46.8547,69.9133,1990.0,-23.73,-23.76,56.98,58.56,10.71,9.98,94.2,94.9,2.22,3.34,802.4
1997-05-15 08:00:00+00:00,-46.8547,69.9133,1990.0,-23.84,-23.87,55.46,57.09,10.93,10.89,95.6,,2.23,3.34,802.3
1997-05-15 09:00:00+00:00,-46.8547,69.9133,1990.0,-23.09,-23.10,54.02,55.68,10.86,10.82,94.9,,2.23,3.34,802.4
